created_at,text,likes,RTs,user_name
13/06/2021 23:59,@MarthaChavezC @ONPE_oficial Estas elecciones han sido un #FraudeEnMesa desde la 1era vuelta…. Anulen las elecciones,7,3,la_charapita
13/06/2021 23:58,@DavidU1924 @MarthaChavezC ¡Cuantas actas mas hay así! @ONPE_oficial @JNE_Peru @KeikoFujimori… https://t.co/hzRMTq6Wi8,12,0,DPostigo50
13/06/2021 23:54,@ONPE_oficial @alecosta @kennethsanchezg La @ONPE_oficial  esta lleno de parásitos corruptos izquierdosos. Vamos a… https://t.co/wAJpn5A1wp,1,0,AleGayoso2
13/06/2021 23:46,@JNE_Peru @tuesta @fidh_es PERDIERON CREDIBILIDAD DEL PROCESO ELECTORAL! CANDIDAT@ QUE NOMBREN SERÁ ILEGITIMO PARA… https://t.co/OT3ni40wu7,0,0,E062020
13/06/2021 23:45,@susanaabad @MarleneChG1 Con el #FraudeEnMesa,0,0,HILARYCAMPOVER2
13/06/2021 23:44,@IndiraHuilca Yo no vi a nadie destilar odio en la marcha de ayer Indira. Deja de querer dividir a los peruanos. Lo… https://t.co/uIeTW1ZJQY,0,0,TheRealGuille82
13/06/2021 23:41,@Tgiusseppe @ONPE_oficial @KeikoFujimori Seguro dirán error material. Van a cubrir toda ineficiencia q permitió el… https://t.co/eflOmHNN6b,1,1,NANKARINA5
13/06/2021 23:39,#fraudeEnMesa una más de las miles fraudulentas. https://t.co/0sAp3h6y5j,2,1,yzarich
13/06/2021 23:37,@amariateguibnof Ya es el colmo el pulpo que ha resultado Perú Libre !!! #FraudeEnMesa #NulidadDeElecciones🇵🇪,8,4,Juaniperezc
13/06/2021 23:37,"@America24Horas @KeikoFujimori Han anulado actas sistematicamente contra FP.
#FraudeEnMesa
#SalasArenasChallapalcaTeEspera",0,0,GabrielOmarPM
13/06/2021 23:37,@gissela_acostag @janet52315086 @marialecampos @martinhidalgo @JMVillalobosCam @tuesta Se presentó las 802 pero el… https://t.co/TrHnbDRSSD,0,0,NANKARINA5
13/06/2021 23:34,@JNE_Peru @mardewe @Frospigliosi @fidh_es Para eso están rápiditos pero para el #FraudeEnMesa andan tortugas!,0,0,GermanRodCub
13/06/2021 23:29,"@felxs01 @neyra_u @3001rafa @ONPE_oficial Pidan las cabezas de los jefes de ONPE, JNE estan corrompiendo la volunta… https://t.co/wkth4jMYAD",1,0,katazz7
13/06/2021 23:27,Este proceso electoral está viciado desde sus inicios! O se solicita auditoría TOTAL o que lo declaren NULO por irr… https://t.co/TniZt9ItA9,4,3,skorpiona_peru
13/06/2021 23:25,"#FraudeEnMesa eso es lo que quería Cerron ahora no hay duda que él va a ser quien gobierne si gana Pedro Castillo,… https://t.co/QCrYNsiuRI",0,0,Alonso210421
13/06/2021 23:25,@DanielUrresti1 Ya nos habíamos olvidado del caso de asesinato al periodista Bustíos. Gracias por recordar. Nos lib… https://t.co/cZKo5ni6qK,1,0,la_charapita
